"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 01 11:19:49 WAT 2023","Fri Dec 01 11:19:50 WAT 2023","373","Contact management","Folders","","","","Create a folder",""
"passed","Fri Dec 01 11:20:12 WAT 2023","Fri Dec 01 11:20:13 WAT 2023","358","Account","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Fri Dec 01 11:19:09 WAT 2023","Fri Dec 01 11:19:10 WAT 2023","496","Sales CRM","Companies","","","","Get a company",""
"passed","Fri Dec 01 11:19:14 WAT 2023","Fri Dec 01 11:19:15 WAT 2023","1208","Sales CRM","Deals","","","","Get deal attributes",""
"failed","Fri Dec 01 11:19:51 WAT 2023","Fri Dec 01 11:19:51 WAT 2023","325","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Fri Dec 01 11:19:42 WAT 2023","Fri Dec 01 11:19:42 WAT 2023","579","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Fri Dec 01 11:19:40 WAT 2023","Fri Dec 01 11:19:41 WAT 2023","440","Conversations","Messages","","","","Get a message",""
"passed","Fri Dec 01 11:19:26 WAT 2023","Fri Dec 01 11:19:26 WAT 2023","581","Sales CRM","Files","","","","Get all files",""
"failed","Fri Dec 01 11:19:41 WAT 2023","Fri Dec 01 11:19:42 WAT 2023","470","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Fri Dec 01 11:20:20 WAT 2023","Fri Dec 01 11:20:20 WAT 2023","367","Account","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Fri Dec 01 11:20:19 WAT 2023","Fri Dec 01 11:20:20 WAT 2023","302","Account","Corporate","","","","Get the details of requested master account",""
"passed","Fri Dec 01 11:19:31 WAT 2023","Fri Dec 01 11:19:32 WAT 2023","999","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Fri Dec 01 11:20:08 WAT 2023","Fri Dec 01 11:20:08 WAT 2023","470","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"failed","Fri Dec 01 11:19:45 WAT 2023","Fri Dec 01 11:19:45 WAT 2023","596","Contact management","Contacts","","","","Create a contact",""
"passed","Fri Dec 01 11:20:05 WAT 2023","Fri Dec 01 11:20:05 WAT 2023","382","Transactional","Logs","","","","Delete hardbounces",""
"failed","Fri Dec 01 11:19:48 WAT 2023","Fri Dec 01 11:19:48 WAT 2023","308","Contact management","Contacts","","","","Delete a contact",""
"passed","Fri Dec 01 11:19:59 WAT 2023","Fri Dec 01 11:19:59 WAT 2023","398","Transactional","Templates","","","","Get the list of email templates",""
"passed","Fri Dec 01 11:20:17 WAT 2023","Fri Dec 01 11:20:17 WAT 2023","498","Account","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Fri Dec 01 11:19:20 WAT 2023","Fri Dec 01 11:19:21 WAT 2023","1178","Sales CRM","Tasks","","","","Get a task",""
"failed","Fri Dec 01 11:19:17 WAT 2023","Fri Dec 01 11:19:19 WAT 2023","1085","Sales CRM","Tasks","","","","Create a task",""
"passed","Fri Dec 01 11:19:46 WAT 2023","Fri Dec 01 11:19:46 WAT 2023","610","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Fri Dec 01 11:19:33 WAT 2023","Fri Dec 01 11:19:33 WAT 2023","440","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"passed","Fri Dec 01 11:19:38 WAT 2023","Fri Dec 01 11:19:38 WAT 2023","476","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Fri Dec 01 11:19:42 WAT 2023","Fri Dec 01 11:19:43 WAT 2023","483","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
"passed","Fri Dec 01 11:20:06 WAT 2023","Fri Dec 01 11:20:07 WAT 2023","409","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"failed","Fri Dec 01 11:20:09 WAT 2023","Fri Dec 01 11:20:09 WAT 2023","301","Account","Webhooks","","","","Create a webhook",""
"passed","Fri Dec 01 11:19:43 WAT 2023","Fri Dec 01 11:19:43 WAT 2023","419","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Fri Dec 01 11:19:38 WAT 2023","Fri Dec 01 11:19:38 WAT 2023","418","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"passed","Fri Dec 01 11:19:57 WAT 2023","Fri Dec 01 11:19:57 WAT 2023","287","Transactional","Email API","","","","Send a transactional email",""
"passed","Fri Dec 01 11:19:43 WAT 2023","Fri Dec 01 11:19:44 WAT 2023","479","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Fri Dec 01 11:20:14 WAT 2023","Fri Dec 01 11:20:14 WAT 2023","376","Account","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Fri Dec 01 11:20:24 WAT 2023","Fri Dec 01 11:20:24 WAT 2023","398","Account","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Fri Dec 01 11:19:56 WAT 2023","Fri Dec 01 11:19:56 WAT 2023","386","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Dec 01 11:19:15 WAT 2023","Fri Dec 01 11:19:15 WAT 2023","372","Sales CRM","Deals","","","","Get a deal",""
"passed","Fri Dec 01 11:19:56 WAT 2023","Fri Dec 01 11:19:57 WAT 2023","388","Contact management","Attributes","","","","Delete an attribute",""
"passed","Fri Dec 01 11:19:12 WAT 2023","Fri Dec 01 11:19:13 WAT 2023","668","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Dec 01 11:19:27 WAT 2023","Fri Dec 01 11:19:28 WAT 2023","396","Sales CRM","Files","","","","Delete a file",""
"passed","Fri Dec 01 11:20:21 WAT 2023","Fri Dec 01 11:20:21 WAT 2023","497","Account","Corporate","","","","Get sub-account details",""
"passed","Fri Dec 01 11:20:14 WAT 2023","Fri Dec 01 11:20:15 WAT 2023","296","Account","Reseller","Domains","","","Create a domain for a child account",""
"passed","Fri Dec 01 11:19:09 WAT 2023","Fri Dec 01 11:19:09 WAT 2023","442","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Fri Dec 01 11:20:25 WAT 2023","Fri Dec 01 11:20:26 WAT 2023","501","Account","Senders","","","","Get all the dedicated IPs for a sender",""
"passed","Fri Dec 01 11:19:51 WAT 2023","Fri Dec 01 11:19:51 WAT 2023","426","Contact management","Folders","","","","Get lists in a folder",""
"passed","Fri Dec 01 11:20:07 WAT 2023","Fri Dec 01 11:20:08 WAT 2023","351","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"passed","Fri Dec 01 11:19:22 WAT 2023","Fri Dec 01 11:19:23 WAT 2023","1200","Sales CRM","Tasks","","","","Update a task",""
"failed","Fri Dec 01 11:19:11 WAT 2023","Fri Dec 01 11:19:12 WAT 2023","562","Sales CRM","Companies","","","","Get pipeline stages",""
"failed","Fri Dec 01 11:19:24 WAT 2023","Fri Dec 01 11:19:25 WAT 2023","477","Sales CRM","Notes","","","","Get a note",""
"passed","Fri Dec 01 11:20:16 WAT 2023","Fri Dec 01 11:20:17 WAT 2023","397","Account","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Fri Dec 01 11:19:45 WAT 2023","Fri Dec 01 11:19:46 WAT 2023","359","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Fri Dec 01 11:20:22 WAT 2023","Fri Dec 01 11:20:22 WAT 2023","395","Account","Corporate","","","","Update sub-account plan",""
"passed","Fri Dec 01 11:19:58 WAT 2023","Fri Dec 01 11:19:58 WAT 2023","419","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Fri Dec 01 11:19:36 WAT 2023","Fri Dec 01 11:19:37 WAT 2023","393","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"failed","Fri Dec 01 11:19:29 WAT 2023","Fri Dec 01 11:19:30 WAT 2023","562","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Fri Dec 01 11:19:48 WAT 2023","Fri Dec 01 11:19:48 WAT 2023","296","Contact management","Contacts","","","","Update a contact",""
"failed","Fri Dec 01 11:20:08 WAT 2023","Fri Dec 01 11:20:09 WAT 2023","371","Account","Webhooks","","","","Get all webhooks",""
"failed","Fri Dec 01 11:20:00 WAT 2023","Fri Dec 01 11:20:01 WAT 2023","401","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Fri Dec 01 11:19:44 WAT 2023","Fri Dec 01 11:19:45 WAT 2023","377","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Dec 01 11:19:52 WAT 2023","Fri Dec 01 11:19:52 WAT 2023","392","Contact management","Lists","","","","Create a list",""
"passed","Fri Dec 01 11:20:05 WAT 2023","Fri Dec 01 11:20:06 WAT 2023","305","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Fri Dec 01 11:19:16 WAT 2023","Fri Dec 01 11:19:17 WAT 2023","1095","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Fri Dec 01 11:19:36 WAT 2023","Fri Dec 01 11:19:36 WAT 2023","402","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Dec 01 11:19:54 WAT 2023","Fri Dec 01 11:19:54 WAT 2023","370","Contact management","Lists","","","","Update a list",""
"passed","Fri Dec 01 11:19:16 WAT 2023","Fri Dec 01 11:19:16 WAT 2023","396","Sales CRM","Deals","","","","Delete a deal",""
"failed","Fri Dec 01 11:19:51 WAT 2023","Fri Dec 01 11:19:52 WAT 2023","423","Contact management","Lists","","","","Get all the lists",""
"passed","Fri Dec 01 11:20:04 WAT 2023","Fri Dec 01 11:20:04 WAT 2023","408","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Fri Dec 01 11:19:35 WAT 2023","Fri Dec 01 11:19:35 WAT 2023","599","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Fri Dec 01 11:20:16 WAT 2023","Fri Dec 01 11:20:16 WAT 2023","322","Account","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Fri Dec 01 11:19:37 WAT 2023","Fri Dec 01 11:19:37 WAT 2023","399","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Fri Dec 01 11:19:28 WAT 2023","Fri Dec 01 11:19:28 WAT 2023","466","Sales CRM","Files","","","","Get file details",""
"passed","Fri Dec 01 11:20:02 WAT 2023","Fri Dec 01 11:20:03 WAT 2023","574","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Fri Dec 01 11:19:39 WAT 2023","Fri Dec 01 11:19:39 WAT 2023","472","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Fri Dec 01 11:20:22 WAT 2023","Fri Dec 01 11:20:23 WAT 2023","498","Account","Account data","","","","Get your account information, plan and credits details",""
"passed","Fri Dec 01 11:19:16 WAT 2023","Fri Dec 01 11:19:16 WAT 2023","411","Sales CRM","Deals","","","","Update a deal",""
"passed","Fri Dec 01 11:19:54 WAT 2023","Fri Dec 01 11:19:55 WAT 2023","514","Contact management","Lists","","","","Delete a list",""
"passed","Fri Dec 01 11:20:21 WAT 2023","Fri Dec 01 11:20:22 WAT 2023","591","Account","Corporate","","","","Delete a sub-account",""
"passed","Fri Dec 01 11:19:10 WAT 2023","Fri Dec 01 11:19:11 WAT 2023","470","Sales CRM","Companies","","","","Delete a company",""
"failed","Fri Dec 01 11:19:47 WAT 2023","Fri Dec 01 11:19:48 WAT 2023","347","Contact management","Contacts","","","","Get a contact's details",""
"passed","Fri Dec 01 11:20:23 WAT 2023","Fri Dec 01 11:20:24 WAT 2023","728","Account","Senders","","","","Create a new sender",""
"passed","Fri Dec 01 11:19:11 WAT 2023","Fri Dec 01 11:19:11 WAT 2023","543","Sales CRM","Companies","","","","Update a company",""
"failed","Fri Dec 01 11:19:33 WAT 2023","Fri Dec 01 11:19:33 WAT 2023","461","Marketing","Email Campaigns","","","","Get a shared template url",""
"passed","Fri Dec 01 11:20:19 WAT 2023","Fri Dec 01 11:20:19 WAT 2023","390","Account","Process","","","","Return the informations for a process",""
"passed","Fri Dec 01 11:19:53 WAT 2023","Fri Dec 01 11:19:53 WAT 2023","493","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Dec 01 11:19:29 WAT 2023","Fri Dec 01 11:19:29 WAT 2023","583","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Fri Dec 01 11:19:37 WAT 2023","Fri Dec 01 11:19:38 WAT 2023","377","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Fri Dec 01 11:19:25 WAT 2023","Fri Dec 01 11:19:25 WAT 2023","620","Sales CRM","Notes","","","","Update a note",""
"passed","Fri Dec 01 11:20:20 WAT 2023","Fri Dec 01 11:20:21 WAT 2023","369","Account","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Fri Dec 01 11:19:23 WAT 2023","Fri Dec 01 11:19:24 WAT 2023","395","Sales CRM","Notes","","","","Get all notes",""
"failed","Fri Dec 01 11:20:02 WAT 2023","Fri Dec 01 11:20:02 WAT 2023","509","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Fri Dec 01 11:19:41 WAT 2023","Fri Dec 01 11:19:41 WAT 2023","507","Conversations","Messages","","","","Update a message sent by an agent",""
"passed","Fri Dec 01 11:19:53 WAT 2023","Fri Dec 01 11:19:53 WAT 2023","332","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Fri Dec 01 11:20:12 WAT 2023","Fri Dec 01 11:20:12 WAT 2023","381","Account","Webhooks","","","","Delete a webhook",""
"passed","Fri Dec 01 11:19:33 WAT 2023","Fri Dec 01 11:19:34 WAT 2023","484","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"passed","Fri Dec 01 11:20:23 WAT 2023","Fri Dec 01 11:20:23 WAT 2023","408","Account","Senders","","","","Get the list of all your senders",""
"passed","Fri Dec 01 11:20:13 WAT 2023","Fri Dec 01 11:20:14 WAT 2023","481","Account","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Fri Dec 01 11:19:21 WAT 2023","Fri Dec 01 11:19:22 WAT 2023","1203","Sales CRM","Tasks","","","","Delete a task",""
"passed","Fri Dec 01 11:19:57 WAT 2023","Fri Dec 01 11:19:58 WAT 2023","454","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 11:19:48 WAT 2023","Fri Dec 01 11:19:49 WAT 2023","490","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Fri Dec 01 11:19:49 WAT 2023","Fri Dec 01 11:19:49 WAT 2023","419","Contact management","Folders","","","","Get all folders",""
"passed","Fri Dec 01 11:20:17 WAT 2023","Fri Dec 01 11:20:17 WAT 2023","327","Account","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Fri Dec 01 11:20:19 WAT 2023","Fri Dec 01 11:20:19 WAT 2023","357","Account","Process","","","","Return all the processes for your account",""
"passed","Fri Dec 01 11:20:20 WAT 2023","Fri Dec 01 11:20:20 WAT 2023","300","Account","Corporate","","","","Create a new sub-account under a master account.",""
"passed","Fri Dec 01 11:20:03 WAT 2023","Fri Dec 01 11:20:03 WAT 2023","290","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Fri Dec 01 11:19:30 WAT 2023","Fri Dec 01 11:19:31 WAT 2023","629","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"failed","Fri Dec 01 11:19:25 WAT 2023","Fri Dec 01 11:19:26 WAT 2023","478","Sales CRM","Notes","","","","Delete a note",""
"passed","Fri Dec 01 11:19:05 WAT 2023","Fri Dec 01 11:19:07 WAT 2023","1487","Sales CRM","Companies","","","","Get all Companies",""
"passed","Fri Dec 01 11:19:28 WAT 2023","Fri Dec 01 11:19:29 WAT 2023","544","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Fri Dec 01 11:19:34 WAT 2023","Fri Dec 01 11:19:35 WAT 2023","455","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Fri Dec 01 11:20:04 WAT 2023","Fri Dec 01 11:20:05 WAT 2023","447","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Fri Dec 01 11:20:09 WAT 2023","Fri Dec 01 11:20:10 WAT 2023","367","Account","Webhooks","","","","Get a webhook details",""
"passed","Fri Dec 01 11:19:35 WAT 2023","Fri Dec 01 11:19:36 WAT 2023","373","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Fri Dec 01 11:20:07 WAT 2023","Fri Dec 01 11:20:07 WAT 2023","311","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Fri Dec 01 11:19:53 WAT 2023","Fri Dec 01 11:19:54 WAT 2023","478","Contact management","Lists","","","","Get a list's details",""
"passed","Fri Dec 01 11:20:03 WAT 2023","Fri Dec 01 11:20:04 WAT 2023","474","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Dec 01 11:20:15 WAT 2023","Fri Dec 01 11:20:15 WAT 2023","468","Account","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"passed","Fri Dec 01 11:20:04 WAT 2023","Fri Dec 01 11:20:04 WAT 2023","292","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Fri Dec 01 11:20:17 WAT 2023","Fri Dec 01 11:20:18 WAT 2023","401","Account","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)",""
"passed","Fri Dec 01 11:19:27 WAT 2023","Fri Dec 01 11:19:27 WAT 2023","505","Sales CRM","Files","","","","Download a file",""
"passed","Fri Dec 01 11:19:40 WAT 2023","Fri Dec 01 11:19:40 WAT 2023","494","Conversations","Messages","","","","Send a message as an agent",""
"failed","Fri Dec 01 11:19:31 WAT 2023","Fri Dec 01 11:19:31 WAT 2023","390","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Fri Dec 01 11:20:08 WAT 2023","Fri Dec 01 11:20:08 WAT 2023","316","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"failed","Fri Dec 01 11:19:13 WAT 2023","Fri Dec 01 11:19:13 WAT 2023","601","Sales CRM","Deals","","","","Create a deal",""
"passed","Fri Dec 01 11:19:34 WAT 2023","Fri Dec 01 11:19:34 WAT 2023","414","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Fri Dec 01 11:19:08 WAT 2023","Fri Dec 01 11:19:09 WAT 2023","900","Sales CRM","Companies","","","","Get company attributes",""
"passed","Fri Dec 01 11:19:26 WAT 2023","Fri Dec 01 11:19:27 WAT 2023","369","Sales CRM","Files","","","","Upload a file",""
"passed","Fri Dec 01 11:19:55 WAT 2023","Fri Dec 01 11:19:55 WAT 2023","503","Contact management","Attributes","","","","List all attributes",""
"passed","Fri Dec 01 11:19:55 WAT 2023","Fri Dec 01 11:19:56 WAT 2023","481","Contact management","Attributes","","","","Update contact attribute",""
"passed","Fri Dec 01 11:20:25 WAT 2023","Fri Dec 01 11:20:25 WAT 2023","377","Account","Senders","","","","Delete a sender",""
"passed","Fri Dec 01 11:20:18 WAT 2023","Fri Dec 01 11:20:18 WAT 2023","378","Account","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Fri Dec 01 11:20:01 WAT 2023","Fri Dec 01 11:20:02 WAT 2023","452","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Fri Dec 01 11:19:50 WAT 2023","Fri Dec 01 11:19:50 WAT 2023","386","Contact management","Folders","","","","Returns a folder's details",""
"passed","Fri Dec 01 11:20:10 WAT 2023","Fri Dec 01 11:20:12 WAT 2023","2006","Account","Webhooks","","","","Update a webhook",""
"passed","Fri Dec 01 11:19:47 WAT 2023","Fri Dec 01 11:19:47 WAT 2023","393","Contact management","Contacts","","","","Import contacts",""
"passed","Fri Dec 01 11:19:19 WAT 2023","Fri Dec 01 11:19:20 WAT 2023","1018","Sales CRM","Tasks","","","","Get all task types",""
"passed","Fri Dec 01 11:20:06 WAT 2023","Fri Dec 01 11:20:06 WAT 2023","402","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"passed","Fri Dec 01 11:20:15 WAT 2023","Fri Dec 01 11:20:15 WAT 2023","299","Account","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Fri Dec 01 11:20:24 WAT 2023","Fri Dec 01 11:20:25 WAT 2023","418","Account","Senders","","","","Update a sender",""
"passed","Fri Dec 01 11:19:38 WAT 2023","Fri Dec 01 11:19:39 WAT 2023","388","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"passed","Fri Dec 01 11:19:10 WAT 2023","Fri Dec 01 11:19:10 WAT 2023","685","Sales CRM","Companies","","","","Create a company",""
"passed","Fri Dec 01 11:20:12 WAT 2023","Fri Dec 01 11:20:12 WAT 2023","324","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Fri Dec 01 11:20:00 WAT 2023","Fri Dec 01 11:20:00 WAT 2023","482","Transactional","Templates","","","","Update an email template",""
"passed","Fri Dec 01 11:19:59 WAT 2023","Fri Dec 01 11:19:59 WAT 2023","378","Transactional","Templates","","","","Create an email template",""
"passed","Fri Dec 01 11:19:07 WAT 2023","Fri Dec 01 11:19:08 WAT 2023","672","Sales CRM","Companies","","","","Create a company",""
"failed","Fri Dec 01 11:19:59 WAT 2023","Fri Dec 01 11:20:00 WAT 2023","374","Transactional","Templates","","","","Returns the template information",""
"passed","Fri Dec 01 11:19:31 WAT 2023","Fri Dec 01 11:19:31 WAT 2023","350","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"passed","Fri Dec 01 11:20:15 WAT 2023","Fri Dec 01 11:20:16 WAT 2023","400","Account","Reseller","Child accounts","","","Get a child account's details",""
"passed","Fri Dec 01 11:19:13 WAT 2023","Fri Dec 01 11:19:14 WAT 2023","562","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Fri Dec 01 11:20:01 WAT 2023","Fri Dec 01 11:20:01 WAT 2023","377","Transactional","Templates","","","","Send a template to your test list",""
"passed","Fri Dec 01 11:20:18 WAT 2023","Fri Dec 01 11:20:19 WAT 2023","324","Account","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Fri Dec 01 11:19:24 WAT 2023","Fri Dec 01 11:19:24 WAT 2023","490","Sales CRM","Notes","","","","Create a note",""
"passed","Fri Dec 01 11:20:13 WAT 2023","Fri Dec 01 11:20:13 WAT 2023","592","Account","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Fri Dec 01 11:19:46 WAT 2023","Fri Dec 01 11:19:47 WAT 2023","481","Contact management","Contacts","","","","Export contacts",""
"passed","Fri Dec 01 11:20:06 WAT 2023","Fri Dec 01 11:20:06 WAT 2023","448","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"failed","Fri Dec 01 11:19:44 WAT 2023","Fri Dec 01 11:19:44 WAT 2023","469","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Fri Dec 01 11:19:52 WAT 2023","Fri Dec 01 11:19:53 WAT 2023","336","Contact management","Lists","","","","Get contacts in a list",""
"passed","Fri Dec 01 11:19:39 WAT 2023","Fri Dec 01 11:19:40 WAT 2023","328","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"failed","Fri Dec 01 11:19:50 WAT 2023","Fri Dec 01 11:19:50 WAT 2023","463","Contact management","Folders","","","","Update a folder",""
"passed","Fri Dec 01 11:19:57 WAT 2023","Fri Dec 01 11:19:57 WAT 2023","321","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Fri Dec 01 11:19:58 WAT 2023","Fri Dec 01 11:19:59 WAT 2023","358","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
